Filia;Adres;Nr lokalu;Kod;Dyrektor;E-mail dyrektor;Tel kom;Liczba zatrudnionych;E-mail firmowy;www
GdañSK;pl. Pi³sudskiego;4/2;80180;Marzena Kwiatkowska;m.kwiatkowska@firma.com.pl;862393714;18;gdañsk@firma.com.pl;www.gdansk.firma.com.pl
Gdynia;ul. Koœciuszki;12;85689;Marzena Jasiñska;m.jasinska@firma.com.pl;866557235;23;Gdynia@firma.com.pl;www.gdynia.firma.com.pl
Katowice;ul. Górnicza;23c;40588;Zbigniew Szymañski;z.szymanski@firma.com.pl;559793621;24;katowice@firma.com.pl;www.katowice.firma.com.pl
KR aków;ul. Targowa;17;30498;Karolina Zalewska;k.zalewska@firma.com.pl;898313530;39;krakow@firma.com.pl;www.krakow.firma.com.pl
Lublin;oœ. Skrzatów;7/6;20861;Józef Nowakowski;j.nowakowski@firma.com.pl;805016565;37;lublin@firma.com.pl;www.lublin.firma.com.pl
£ódŸ;ul. Fabryczna ;12/4;91437;Aleksandra Laskowska;a.laskowska@firma.com.pl;590191971;36;lodz@firma.com.pl;www.lodz.firma.com.pl
PoZNnañ;ul. Kwidzyñska;12a;61657;Mariusz Nowakowski;m.nowakowski@firma.com.pl;884799401;14;poznan@firma.com.pl;www.poznan.firma.com.pl
Rzeszów;ul. Kosynierów;13;33100;Edyta Wróbel;e.wrobel@firma.com.pl;627067323;19;rzeszow@firma.com.pl;www.rzeszow.firma.com.pl
Sopot;ul. Mi³a;44/15;37720;£ukasz G³owacki;l.glowacki@firma.com.pl;619170096;24;przemysl@firma.com.pl;www.przemysl.firma.com.pl
Suwa³ki;ul. Pracy;16;16433;Adam Marciniak;a.marciniak@firma.com.pl;810749318;35;suwalki@firma.com.pl;www.suwalki.firma.com.pl
szczecin;al. Portowa;23/7a;71561;Marzena Wilk;m.wilk@firma.com.pl;742154527;22;szczecin@firma.com.pl;www.szczecin.firma.com.pl
Wroc³aw;ul. Trzebnicka;23;54426;Tomasz Bagiñski;t.baginski@firma.com.pl;522321777;27;wroclaw@firma.com.pl;www.wroclaw.firma.com.pl
